"","x"
"472",77
"473",76.6
"474",76.6
"475",76.3
"476",75.9
"477",75.7
"478",75.4
"479",75.6
"480",75.6
"481",75.6
"482",77.2
"483",77.7
"484",79.2
"485",74.5
"486",74.7
"487",76.5
"488",77.7
"489",79
"490",80.4
"491",79
"492",78.1
"493",76.8
"494",76.6
"495",76.6
"496",76.5
"497",76.3
"498",76.3
"499",75.6
"500",76.5
"501",75.7
"502",75.4
"503",75.6
"504",75.7
"505",76.1
"506",76.6
"507",77.5
"508",79.7
"509",80.1
"510",80.4
"511",81
"512",80.8
"513",80.2
"514",80.1
"515",79.5
"516",78.6
"517",77.2
"518",76.8
"519",76.6
"520",76.5
"521",76.5
"522",76.1
"523",75.9
"524",75.6
"525",75.2
"526",75.9
"527",76.1
"528",75.9
"529",76.1
"530",78.3
"531",79.3
"532",80.1
"533",79.9
"534",76.8
"535",79
"536",81
"537",80.2
"538",78.1
"539",77.4
"540",76.1
"541",75
"542",73.8
"543",73.9
"544",73.4
"545",73.4
"546",73.6
"547",73
"548",72.7
"549",72.7
"550",72.9
"551",72.5
"552",73.9
"553",76.6
"554",77.7
"555",78.3
"556",78.6
"557",78.8
"558",77.4
"559",77.4
"560",77.9
"561",76.5
"562",75.6
"563",75.9
"564",74.7
"565",73.8
"566",73.4
"567",74.3
"568",73.4
"569",72.7
"570",73.4
"571",72.7
"572",72.3
"573",73.2
"574",72.3
"575",72.5
"576",74.3
"577",77
"578",77.5
"579",78.3
"580",78.8
"581",79
"582",79.5
"583",79.5
"584",79.9
"585",79.5
"586",78.1
"587",78.4
"588",76.1
"589",75.4
"590",74.8
"591",74.5
"592",74.3
"593",73.9
"594",73.8
"595",73.9
"596",73.4
"597",73.8
"598",73.8
"599",74.8
"600",77.4
"601",79.3
"602",80.1
"603",80.6
"604",80.6
"605",80.1
"606",81.3
"607",79.3
"608",80.4
"609",78.4
"610",76.6
"611",76.3
"612",76.1
"613",76.1
"614",75.6
"615",74.3
"616",73.8
"617",72.1
"618",72.7
"619",72
"620",72.3
"621",73.4
"622",74.7
"623",75.9
"624",78.4
"625",79
"626",79.2
"627",80.4
"628",79.7
"629",79
"630",78.6
"631",78.4
"632",77.4
"633",75.7
"634",75.2
"635",75.2
"636",74.8
"637",74.3
"638",73.9
"639",73.9
"640",73.6
"641",73.4
"642",73.4
"643",73.2
"644",72.7
"645",75.7
"646",77.2
"647",77.5
"648",76.5
"649",76.8
"650",76.1
"651",76.6
"652",77
"653",77.4
"654",77.9
"655",77.2
"656",76.3
"657",76.3
"658",75.9
"659",77.2
"660",75.7
"661",75.4
"662",74.8
"663",76.6
"664",76.6
"665",76.1
"666",75.2
"667",76.6
"668",77.2
"669",77.7
"670",77.9
"671",77.9
"672",73.4
"673",74.5
"674",75.9
"675",76.8
"676",77.7
"677",80.4
"678",78.3
"679",77.2
"680",77
"681",76.8
"682",76.3
"683",75.6
"684",75.4
"685",72.3
"686",72.3
"687",71.8
"688",72
"689",71.4
"690",72.1
"691",72.9
"692",74.1
"693",77.4
"694",78.4
"695",78.3
"696",76.8
"697",76.8
"698",77
"699",78.6
"700",78.8
"701",81.9
"702",80.2
"703",79
"704",77.2
"705",76.5
"706",76.6
"707",76.5
"708",76.3
"709",75.7
"710",74.8
"711",74.5
"712",74.5
"713",73.8
"714",73.8
"715",73.9
"716",75
"717",76.6
